categorie_origine;titre;url_testee;http;format;nb_entrees;date_recente;verdict_test;url_fiabilisee;statut_final;categorie_proposee;profils;commentaire
Sources françaises IA;Actu IA;https://www.actuia.com/feed/;200;rss;15;2026-06-22;OK;https://www.actuia.com/feed/;gardé;Actualité tech FR;"RSSI;CTO;Dev;Archi";Actu IA FR.
Sources françaises IA;Usine Digitale — Tech IA/Data;https://www.usine-digitale.fr/tech-in-france/rss;403;html;0;;cassé (HTTP 403);https://www.usine-digitale.fr/tech-in-france/rss;exclu;—;;403 anti-bot (bloque le fetch automatisé).
Sources françaises IA;Frenchweb;https://www.frenchweb.fr/feed;200;rss;100;2026-06-22;OK;https://www.frenchweb.fr/feed;gardé;Actualité tech FR;CTO;Écosystème tech FR.
Sources françaises IA;Next.ink;https://next.ink/feed/;200;rss;50;2026-06-22;OK;https://next.ink/feed/;gardé;Actualité tech FR;"RSSI;CTO;Dev;Archi";Tech/numérique FR exigeant.
Sources françaises IA;Le Monde Informatique — IA;https://www.lemondeinformatique.fr/flux-rss/thematique/intelligence-artificielle/rss.xml;ERR;-;0;;cassé (curl);https://www.lemondeinformatique.fr/flux-rss/thematique/intelligence-artificielle/rss.xml;gardé;Actualité tech FR;"CTO;Archi;Dev";DSI FR, frais.
Sources françaises IA;ZDNet France — IA;https://www.zdnet.fr/actualites/intelligence-artificielle/rss.xml;404;html;0;;cassé (HTTP 404);https://www.zdnet.fr/feeds/rss/actualites/;corrigé;Actualité tech FR;"RSSI;CTO;Dev;Archi";Flux IA dédié mort (404) → flux général ZDNet FR.
Sources françaises IA;Les Echos — Tech & Medias;https://syndication.lesechos.fr/rss/rss_tech-medias.xml;403;html;0;;cassé (HTTP 403);https://syndication.lesechos.fr/rss/rss_tech-medias.xml;exclu;—;;403 anti-bot.
Sources françaises IA;Maddyness;https://www.maddyness.com/feed/;200;rss;10;2026-06-22;OK;https://www.maddyness.com/feed/;gardé;Actualité tech FR;CTO;Startups/business tech FR.
Sources françaises IA;BFM Tech;https://www.bfmtv.com/rss/tech/;200;rss;30;2026-06-22;OK;https://www.bfmtv.com/rss/tech/;gardé;Actualité tech FR;"CTO;Dev";Actu tech grand public FR.
Sources françaises IA;Siècle Digital;https://siecledigital.fr/feed/;200;rss;20;2026-06-22;OK;https://siecledigital.fr/feed/;gardé;Actualité tech FR;"CTO;Dev";Actu numérique FR.
Sources françaises IA;Journal du Net;https://www.journaldunet.com/rss/;200;rss;60;2026-06-22;OK;https://www.journaldunet.com/rss/;gardé;Actualité tech FR;"CTO;Archi";Business/tech FR.
Sources françaises IA;UpMynt;https://www.upmynt.com/feed;200;rss;15;2026-06-17;OK;https://www.upmynt.com/feed;exclu;—;;Newsletter (fragile, exclu).
Sources françaises IA;Les Carnets de l'IA (podcast);https://feed.ausha.co/BMVQvUK871vO;200;rss;102;2026-06-22;OK;https://feed.ausha.co/BMVQvUK871vO;exclu;—;;Podcast audio, hors format article.
Sources françaises IA;Frenchweb — tag IA;https://www.frenchweb.fr/tag/ia/feed;200;html;0;;pas un flux (HTML);https://www.frenchweb.fr/tag/ia/feed;exclu;—;;Pas un flux (HTML) + redondant avec Frenchweb.
Sources françaises IA;Ria-Facile;https://www.ria-facile.com/feed;200;html;0;;pas un flux (HTML);https://www.ria-facile.com/feed;exclu;—;;Pas un flux (HTML).
Internationales;The Batch;https://www.deeplearning.ai/the-batch/feed/;404;html;0;;cassé (HTTP 404);https://www.deeplearning.ai/the-batch/feed/;exclu;—;;Newsletter, aucun flux RSS valide (404).
Internationales;MIT Technology Review — AI;https://www.technologyreview.com/topic/artificial-intelligence/feed;200;rss;10;2026-06-19;OK;https://www.technologyreview.com/topic/artificial-intelligence/feed;gardé;IA & Tech — Médias internationaux;"RSSI;CTO;Dev;Archi";Analyse de fond.
Internationales;VentureBeat — AI;https://venturebeat.com/category/ai/feed/;200;rss;7;2026-05-19;OK;https://venturebeat.com/category/ai/feed/;gardé;IA & Tech — Médias internationaux;"CTO;Dev";Actu produit IA (publie lentement).
Internationales;TechCrunch — AI;https://techcrunch.com/category/artificial-intelligence/feed/;200;rss;20;2026-06-22;OK;https://techcrunch.com/category/artificial-intelligence/feed/;gardé;IA & Tech — Médias internationaux;"CTO;Dev;Archi";Actu startups/IA, frais.
Internationales;The Verge — AI;https://www.theverge.com/rss/ai-artificial-intelligence/index.xml;200;atom;10;2026-06-22;OK;https://www.theverge.com/rss/ai-artificial-intelligence/index.xml;gardé;IA & Tech — Médias internationaux;"CTO;Dev";Atom, frais.
Internationales;Wired — AI;https://www.wired.com/feed/tag/ai/latest/rss;200;rss;10;2026-06-22;OK;https://www.wired.com/feed/tag/ai/latest/rss;gardé;IA & Tech — Médias internationaux;CTO;Analyse grand public+.
Internationales;Ars Technica — AI;https://feeds.arstechnica.com/arstechnica/technology-lab;200;rss;20;2026-06-18;OK;https://feeds.arstechnica.com/arstechnica/technology-lab;gardé;IA & Tech — Médias internationaux;"Dev;Archi";Tech approfondie.
Internationales;Reuters — Technology;https://www.reutersagency.com/feed/?best-topics=tech&post_type=best;404;html;0;;cassé (HTTP 404);https://www.reutersagency.com/feed/?best-topics=tech&post_type=best;exclu;—;;404 — Reuters a supprimé ses flux RSS.
Internationales;The Register — AI/ML;https://www.theregister.com/software/ai_ml/headlines.atom;200;rss;50;2026-06-16;OK;https://www.theregister.com/software/ai_ml/headlines.atom;gardé;IA & Tech — Médias internationaux;"RSSI;Dev;Archi";Atom, ton technique.
Internationales;Ben's Bites;https://www.bensbites.com/feed;200;rss;20;2026-06-18;OK;https://www.bensbites.com/feed;exclu;—;;Newsletter (fragile, exclu).
Labos & éditeurs;OpenAI News;https://openai.com/news/rss.xml;200;rss;1015;2026-06-22;OK;https://openai.com/news/rss.xml;gardé;IA — Labos & éditeurs;"CTO;Dev;Archi";Source primaire, frais.
Labos & éditeurs;Google DeepMind Blog;https://deepmind.google/blog/rss.xml;200;rss;100;2026-06-16;OK;https://deepmind.google/blog/rss.xml;gardé;IA — Labos & éditeurs;"CTO;Dev";Source primaire labo.
Labos & éditeurs;Anthropic News (tiers Olshansk);https://raw.githubusercontent.com/Olshansk/rss-feeds/main/feeds/feed_anthropic_news.xml;200;rss;230;2026-06-17;OK;https://raw.githubusercontent.com/Olshansk/rss-feeds/main/feeds/feed_anthropic_news.xml;exclu;—;;Feed tiers (GitHub) — fragile, exclu.
Labos & éditeurs;Anthropic Engineering (tiers Olshansk);https://raw.githubusercontent.com/Olshansk/rss-feeds/main/feeds/feed_anthropic_engineering.xml;200;rss;25;2026-05-25;OK;https://raw.githubusercontent.com/Olshansk/rss-feeds/main/feeds/feed_anthropic_engineering.xml;exclu;—;;Feed tiers (GitHub) — fragile, exclu.
Labos & éditeurs;Meta AI Blog;https://research.facebook.com/feed/;400;html;0;;cassé (HTTP 400);https://research.facebook.com/feed/;exclu;—;;400 — pas de flux RSS officiel.
Labos & éditeurs;Hugging Face Blog;https://huggingface.co/blog/feed.xml;200;rss;804;2026-06-22;OK;https://huggingface.co/blog/feed.xml;gardé;IA — Labos & éditeurs;"Dev;CTO";Écosystème open source.
Labos & éditeurs;NVIDIA Blog;https://blogs.nvidia.com/feed/;200;rss;18;2026-06-22;OK;https://blogs.nvidia.com/feed/;gardé;IA — Labos & éditeurs;"Dev;Archi;CTO";Infra/IA, frais.
Labos & éditeurs;Microsoft AI Blog;https://blogs.microsoft.com/ai/feed/;410;html;0;;cassé (HTTP 410);https://news.microsoft.com/source/topics/ai/feed/;corrigé;IA — Labos & éditeurs;"CTO;Archi";blogs.microsoft.com/ai mort (410) → news.microsoft.com.
Labos & éditeurs;Google — AI (blog.google);https://blog.google/technology/ai/rss/;200;rss;20;2026-06-17;OK;https://blog.google/technology/ai/rss/;gardé;IA — Labos & éditeurs;"CTO;Dev";Produit/news IA Google.
Labos & éditeurs;Cohere Blog;https://cohere.com/blog/rss.xml;200;html;0;;pas un flux (HTML);https://cohere.com/blog/rss.xml;exclu;—;;Pas un flux (HTML), RSS supprimé.
Recherche;arXiv cs.AI;https://rss.arxiv.org/rss/cs.AI;200;rss;0;2026-06-22;vide;https://rss.arxiv.org/rss/cs.AI;gardé;IA — Recherche;"Dev;CTO";"Flux valide ; vide le week-end (arXiv ne publie pas)."
Recherche;arXiv cs.LG;https://rss.arxiv.org/rss/cs.LG;200;rss;0;2026-06-22;vide;https://rss.arxiv.org/rss/cs.LG;gardé;IA — Recherche;"Dev;CTO";Idem, complément ML.
Recherche;HF Daily Papers (tiers);https://papers.takara.ai/api/feed;200;rss;50;2026-06-18;OK;https://papers.takara.ai/api/feed;exclu;—;;Feed tiers (takara.ai) — fragile, exclu.
Recherche;EleutherAI Blog;https://blog.eleuther.ai/index.xml;200;rss;50;2026-04-15;OK mais ancien (68j);https://blog.eleuther.ai/index.xml;gardé;IA — Recherche;Dev;Recherche open source (lent ~68j).
Recherche;LessWrong — tag AI;https://www.lesswrong.com/feed.xml?view=curated-rss;200;rss;10;2026-06-21;OK;https://www.lesswrong.com/feed.xml?view=curated-rss;gardé;IA — Recherche;"CTO;Dev";Sécurité/alignement IA.
Automatisation & agents;Relevance AI Blog;https://relevanceai.com/blog/rss.xml;404;html;0;;cassé (HTTP 404);https://relevanceai.com/blog/rss.xml;exclu;—;;404 — pas de flux.
Automatisation & agents;LangChain Blog;https://blog.langchain.dev/rss/;200;html;0;;pas un flux (HTML);https://blog.langchain.dev/rss/;exclu;—;;Pas un flux (HTML), RSS supprimé.
Automatisation & agents;LlamaIndex Blog;https://www.llamaindex.ai/blog/rss.xml;404;html;0;;cassé (HTTP 404);https://www.llamaindex.ai/blog/rss.xml;exclu;—;;404 — pas de flux.
Automatisation & agents;n8n Blog;https://n8n.io/blog/rss/;200;rss;15;2026-06-17;OK;https://n8n.io/blog/rss/;gardé;IA — Produits, agents & dev tooling;"Dev;Archi";Automatisation/agents. (LangChain/LlamaIndex/Relevance sans flux valide.)
Veille opérationnelle;The Hacker News;https://feeds.feedburner.com/TheHackersNews;200;rss;50;2026-06-22;OK;https://feeds.feedburner.com/TheHackersNews;gardé;Cyber — Menaces & vulnérabilités;"RSSI;Archi;Dev";Actu menaces, frais.
Veille opérationnelle;BleepingComputer;https://www.bleepingcomputer.com/feed/;200;rss;15;2026-06-22;OK;https://www.bleepingcomputer.com/feed/;gardé;Cyber — Menaces & vulnérabilités;"RSSI;Archi";Incidents/vulns, frais.
Veille opérationnelle;The Record;https://therecord.media/feed/;200;rss;5;2026-06-22;OK;https://therecord.media/feed/;gardé;Cyber — Menaces & vulnérabilités;"RSSI;CTO";Threat intel, frais.
Veille opérationnelle;CERT-FR;https://www.cert.ssi.gouv.fr/feed/;200;rss;40;2026-06-22;OK;https://www.cert.ssi.gouv.fr/feed/;gardé;Cyber — Menaces & vulnérabilités;"RSSI;Archi";Flux officiel ANSSI, frais.
Veille opérationnelle;Cybernews;https://cybernews.com/feed/;403;html;0;;cassé (HTTP 403);https://cybernews.com/feed/;exclu;—;;403 anti-bot.
Analyse technique;Krebs on Security;https://krebsonsecurity.com/feed/;200;rss;10;2026-06-18;OK;https://krebsonsecurity.com/feed/;gardé;Cyber — Stratégie & analyse;"RSSI;CTO";Analyse de référence.
Analyse technique;Schneier on Security;https://www.schneier.com/blog/atom.xml;200;atom;10;2026-06-22;OK;https://www.schneier.com/blog/atom.xml;gardé;Cyber — Stratégie & analyse;"RSSI;CTO";Gouvernance/crypto.
Analyse technique;The DFIR Report;https://thedfirreport.com/feed/;200;rss;10;2026-05-11;OK;https://thedfirreport.com/feed/;gardé;Cyber — Menaces & vulnérabilités;"RSSI;Dev";Analyses d'intrusion (publie lentement ~1/mois).
Analyse technique;SANS ISC;https://isc.sans.edu/rssfeed.xml;200;rss;10;2026-06-22;OK;https://isc.sans.edu/rssfeed.xml;gardé;Cyber — Menaces & vulnérabilités;"RSSI;Archi";Diary technique quotidien.
Analyse technique;Cisco Talos Blog;https://blog.talosintelligence.com/feeds/posts/default;404;html;0;;cassé (HTTP 404);https://blog.talosintelligence.com/rss/;corrigé;Cyber — Menaces & vulnérabilités;"RSSI;Dev";Ancien /feeds/posts/default mort → /rss/.
Décideur / stratégie;Dark Reading;https://www.darkreading.com/rss.xml;200;rss;50;2026-06-22;OK;https://www.darkreading.com/rss.xml;gardé;Cyber — Stratégie & analyse;"RSSI;CTO";Décideur cyber, frais.
Décideur / stratégie;CSO Online;https://www.csoonline.com/index.rss;404;html;0;;cassé (HTTP 404);https://www.csoonline.com/feed/;corrigé;Cyber — Stratégie & analyse;"RSSI;CTO";Ancien /index.rss mort → /feed/.
Décideur / stratégie;SC Media;https://www.scmagazine.com/home/feed;404;html;0;;cassé (HTTP 404);https://www.scmagazine.com/home/feed;exclu;—;;"404 ; SC World (rebrand) ne sert pas de flux."
Décideur / stratégie;Le Monde Informatique — sécurité;https://www.lemondeinformatique.fr/flux-rss/securite/;ERR;-;0;;cassé (curl);https://www.lemondeinformatique.fr/flux-rss/thematique/securite/rss.xml;corrigé;Cyber — Stratégie & analyse;"RSSI;CTO";Chemin corrigé (thematique/securite).
Décideur / stratégie;Usine Digitale — cyber;https://www.usine-digitale.fr/rss/cybersecurite.xml;404;html;0;;cassé (HTTP 404);https://www.usine-digitale.fr/rss/cybersecurite.xml;exclu;—;;404.
Veille opérationnelle;AI Weekly;https://aiweekly.co/issues.rss;200;rss;20;2026-06-22;OK;https://aiweekly.co/issues.rss;exclu;—;;Newsletter (fragile, exclu).
Veille opérationnelle;AI News (artificialintelligence-news);https://artificialintelligence-news.com/feed/;200;rss;12;2026-06-22;OK;https://artificialintelligence-news.com/feed/;gardé;IA & Tech — Médias internationaux;"CTO;Dev";Actu IA entreprise.
Veille opérationnelle;MarkTechPost;https://www.marktechpost.com/feed/;200;rss;10;2026-06-22;OK;https://www.marktechpost.com/feed/;gardé;IA & Tech — Médias internationaux;Dev;Vulgarisation recherche IA.
Veille opérationnelle;The Verge AI (rss/ai);https://www.theverge.com/rss/ai/index.xml;200;?;0;2026-06-22;vide;https://www.theverge.com/rss/ai/index.xml;exclu;—;;Doublon vide — flux The Verge AI principal gardé.
Veille opérationnelle;AIwire;https://aiwire.net/feed;403;html;0;;cassé (HTTP 403);https://aiwire.net/feed;exclu;—;;403 anti-bot.
Analyse technique;Google AI Blog (ai.googleblog);https://ai.googleblog.com/feeds/posts/default;404;html;0;;cassé (HTTP 404);https://research.google/blog/rss/;corrigé;IA — Labos & éditeurs;"CTO;Dev";ai.googleblog mort → research.google (recherche).
Analyse technique;BAIR Blog (Berkeley);https://bair.berkeley.edu/blog/feed.xml;200;rss;10;2026-05-08;OK;https://bair.berkeley.edu/blog/feed.xml;gardé;IA — Recherche;Dev;Recherche académique (lent).
Analyse technique;The Gradient;https://thegradient.pub/rss/;200;rss;15;2026-02-18;OK mais ancien (123j);https://thegradient.pub/rss/;exclu;—;;Abandonné (dernier post ~123j).
Décideur / stratégie;AI Trends;https://www.aitrends.com/feed/;200;rss;10;2021-10-28;OK mais ancien (1697j);https://www.aitrends.com/feed/;exclu;—;;Abandonné (dernier post 2021).
Décideur / stratégie;InsideAI News;https://insideainews.com/feed/;000;?;0;;cassé (HTTP 000);https://insideainews.com/feed/;exclu;—;;Injoignable (connexion échoue).
Décideur / stratégie;AWS Machine Learning Blog;https://aws.amazon.com/blogs/machine-learning/feed/;200;rss;20;2026-06-22;OK;https://aws.amazon.com/blogs/machine-learning/feed/;gardé;IA — Labos & éditeurs;"Dev;Archi";ML appliqué cloud, frais.
